[0.176],[4.9186],[2.457]
[0.1765],[4.9161],[2.4645]
[0.176],[4.9155],[2.4571]
[0.1757],[4.9154],[2.4531]
[0.1759],[4.9181],[2.4559]
[0.176],[4.9176],[2.4574]
[0.1759],[4.9179],[2.4556]
[0.1758],[4.9167],[2.4542]
[0.1757],[4.9105],[2.4539]
[0.1759],[4.9159],[2.4567]
[0.1762],[4.9162],[2.4609]
[0.176],[4.918],[2.4582]
[0.1765],[4.9169],[2.4644]
[0.1759],[4.9136],[2.4566]
[0.1761],[4.9146],[2.4588]
[0.1761],[4.9181],[2.4648]
[0.1758],[4.9192],[2.455]
[0.1765],[4.9189],[2.4648]
[0.1756],[4.9162],[2.4523]
[0.1757],[4.917],[2.4539]
[0.1758],[4.9177],[2.4544]
[0.1757],[4.9168],[2.4532]
[0.176],[4.917],[2.4574]
[0.1762],[4.9145],[2.4601]
[0.1764],[4.9151],[2.4639]
[0.1759],[4.9125],[2.4556]
[0.1757],[4.9165],[2.4528]
[0.1757],[4.916],[2.4534]
[0.1761],[4.9126],[2.4591]
[0.1758],[4.9141],[2.4544]
[0.1759],[4.9147],[2.4558]
[0.1757],[4.9112],[2.457]
[0.1758],[4.9134],[2.4554]
[0.1762],[4.9133],[2.4601]
[0.1758],[4.9124],[2.455]
[0.1765],[4.9186],[2.4648]
[0.1757],[4.9172],[2.4539]
[0.176],[4.9159],[2.4578]
[0.1761],[4.9138],[2.4596]
[0.1765],[4.9154],[2.4646]
[0.1765],[4.9174],[2.4642]
[0.1759],[4.9145],[2.4567]
[0.1758],[4.9184],[2.4548]
[0.1757],[4.9121],[2.4535]
[0.1758],[4.9106],[2.4548]
[0.1765],[4.9149],[2.4641]
[0.176],[4.9149],[2.4571]
[0.176],[4.9177],[2.4581]
[0.1757],[4.9115],[2.4531]
[0.1757],[4.9109],[2.4538]
[0.176],[4.9163],[2.4574]
[0.1758],[4.9137],[2.4551]
[0.1756],[4.9155],[2.4522]
[0.1758],[4.9106],[2.4549]
[0.176],[4.9191],[2.4572]
[0.1767],[4.9201],[2.4669]
[0.1762],[4.9177],[2.4605]
[0.1761],[4.9129],[2.4592]
[0.1761],[4.9127],[2.4597]
[0.1758],[4.9114],[2.4551]
[0.176],[4.9114],[2.4571]
[0.1758],[4.9116],[2.4547]
[0.1759],[4.9122],[2.4567]
[0.1757],[4.9121],[2.4538]
[0.176],[4.9104],[2.458]
[0.1758],[4.9113],[2.4575]
[0.176],[4.9166],[2.4577]
[0.1761],[4.9135],[2.4594]
[0.1758],[4.917],[2.4542]
[0.1761],[4.9195],[2.4586]
[0.1761],[4.9123],[2.4591]
[0.176],[4.915],[2.4572]
[0.1758],[4.9148],[2.4548]
[0.176],[4.9116],[2.4571]
[0.1757],[4.9181],[2.4537]
[0.1758],[4.9114],[2.4543]
[0.1758],[4.9186],[2.4547]
[0.1758],[4.9181],[2.4544]
[0.1758],[4.9177],[2.4544]
[0.1759],[4.9175],[2.4566]
[0.1762],[4.915],[2.4608]
[0.1759],[4.9181],[2.4561]
[0.1758],[4.9176],[2.4543]
[0.1759],[4.9154],[2.4556]
[0.176],[4.9172],[2.4574]
[0.1766],[4.9177],[2.4658]
[0.176],[4.9104],[2.4581]
[0.1762],[4.9146],[2.4602]
[0.1759],[4.92],[2.4564]
[0.1761],[4.9138],[2.4587]
[0.176],[4.9114],[2.4572]
[0.1757],[4.9126],[2.4532]
[0.1766],[4.9165],[2.4655]
[0.1758],[4.9123],[2.4544]
[0.1761],[4.9112],[2.4585]
[0.176],[4.9158],[2.4572]
[0.1759],[4.9124],[2.4559]
[0.1758],[4.9136],[2.4547]
[0.1758],[4.9093],[2.4543]
[0.1757],[4.9161],[2.4533]
[0.1765],[4.9179],[2.4647]
[0.1758],[4.9122],[2.4548]
