[61.4365234375],[62.806640625],[62.736328125]
[61.228515625],[62.7265625],[62.71875]
[60.5537109375],[62.2958984375],[62.2880859375]
[60.455078125],[61.935546875],[61.6845703125]
[60.5888671875],[62.5869140625],[62.3916015625]
[60.7197265625],[62.5908203125],[62.5283203125]
[60.287109375],[62.25390625],[62.25390625]
[60.791015625],[62.78515625],[62.78515625]
[61.400390625],[63.3359375],[63.078125]
[61.2890625],[63.283203125],[62.4697265625]
[60.3349609375],[61.7080078125],[61.64453125]
[61.3203125],[62.767578125],[62.759765625]
[61.56640625],[63.345703125],[63.095703125]
[60.654296875],[62.6513671875],[62.6513671875]
[60.818359375],[62.7890625],[62.66015625]
[60.2783203125],[61.6982421875],[61.6962890625]
[61.5595703125],[63.03125],[62.90625]
[60.98046875],[62.4375],[62.41796875]
[60.205078125],[62.12890625],[62.12890625]
[61.033203125],[62.46875],[62.0771484375]
[61.732421875],[63.2255859375],[63.0615234375]
[61.142578125],[63.0],[62.7392578125]
[59.8720703125],[61.8525390625],[61.8525390625]
[60.375],[62.05859375],[62.0546875]
[60.693359375],[62.095703125],[61.9423828125]
[60.65234375],[62.650390625],[62.462890625]
[60.0166015625],[62.009765625],[62.009765625]
[61.0439453125],[62.2607421875],[62.2607421875]
[59.916015625],[61.5986328125],[61.4736328125]
[60.8779296875],[62.611328125],[62.486328125]
[61.517578125],[62.65625],[62.6513671875]
[60.728515625],[62.09765625],[62.09765625]
[60.8369140625],[62.2080078125],[62.20703125]
[60.9052734375],[62.8994140625],[62.888671875]
[60.5],[62.244140625],[62.228515625]
[61.1025390625],[62.8193359375],[62.8193359375]
[60.751953125],[62.716796875],[62.7001953125]
[60.1396484375],[62.1376953125],[61.8798828125]
[61.337890625],[62.833984375],[62.818359375]
[60.189453125],[62.171875],[62.10546875]
[60.5615234375],[61.98046875],[61.81640625]
[61.443359375],[62.908203125],[62.892578125]
[60.150390625],[62.14453125],[62.14453125]
[61.091796875],[62.5888671875],[62.5732421875]
[61.64453125],[63.640625],[63.640625]
[61.1103515625],[62.7294921875],[62.6982421875]
[60.57421875],[62.072265625],[62.072265625]
[61.0615234375],[62.7548828125],[62.7548828125]
[61.7705078125],[63.267578125],[63.197265625]
[60.6826171875],[62.5556640625],[62.5546875]
[59.5888671875],[61.5859375],[61.3359375]
[60.962890625],[62.9609375],[62.7109375]
[61.876953125],[63.857421875],[63.5751953125]
[60.44140625],[62.4375],[62.3076171875]
[61.197265625],[63.19140625],[63.1259765625]
[60.9248046875],[62.921875],[62.607421875]
[60.58984375],[62.0673828125],[62.0673828125]
[60.4248046875],[62.2041015625],[62.2041015625]
[60.806640625],[62.689453125],[62.689453125]
[60.6748046875],[62.5478515625],[62.5087890625]
[61.2119140625],[63.0537109375],[62.9912109375]
[61.296875],[62.79296875],[62.51171875]
[59.470703125],[61.4609375],[61.45703125]
[60.5966796875],[62.0322265625],[62.0322265625]
[60.87890625],[62.177734375],[61.912109375]
[60.779296875],[62.25390625],[62.158203125]
[61.4443359375],[63.2080078125],[63.2041015625]
[60.611328125],[62.4970703125],[62.4970703125]
[60.626953125],[62.6240234375],[62.5849609375]
[61.693359375],[63.13671875],[63.07421875]
[60.65625],[62.111328125],[62.095703125]
[61.2236328125],[62.4697265625],[62.4619140625]
[60.578125],[62.2470703125],[62.2392578125]
[62.0087890625],[63.3642578125],[63.3525390625]
[60.326171875],[61.8203125],[62.310546875]
[60.072265625],[62.0078125],[62.0078125]
[61.6142578125],[63.0810546875],[62.7548828125]
[60.994140625],[62.6171875],[62.560546875]
[60.943359375],[62.0478515625],[62.0478515625]
[60.5654296875],[62.1865234375],[62.1865234375]
[61.1669921875],[63.03125],[63.02734375]
[60.484375],[62.4501953125],[62.3798828125]
[60.0849609375],[61.95703125],[61.892578125]
[59.470703125],[61.46875],[61.2177734375]
[60.0087890625],[61.5068359375],[61.501953125]
[60.9951171875],[62.2392578125],[62.2236328125]
[60.4404296875],[62.42578125],[62.42578125]
[60.330078125],[62.2236328125],[62.2236328125]
[61.5361328125],[62.8408203125],[62.8017578125]
[60.923828125],[62.125],[62.123046875]
[61.5927734375],[62.9794921875],[62.9794921875]
[60.96875],[62.638671875],[62.638671875]
[60.28515625],[61.642578125],[61.640625]
[59.6201171875],[60.8642578125],[61.3544921875]
[60.6865234375],[62.6689453125],[62.541015625]
[60.96875],[62.798828125],[62.798828125]
[60.3974609375],[61.8798828125],[61.7509765625]
[60.08203125],[61.56640625],[61.56640625]
[60.9150390625],[62.7158203125],[62.4658203125]
[61.326171875],[62.55859375],[62.55078125]
[61.298828125],[62.796875],[62.54296875]
[60.623046875],[62.11328125],[62.08203125]
