[602.4208984375],[602.4208984375],[601.61328125]
[602.0107421875],[602.2607421875],[601.90625]
[601.9501953125],[601.9501953125],[601.453125]
[602.029296875],[602.287109375],[601.3515625]
[600.7919921875],[601.98046875],[601.6689453125]
[600.4091796875],[601.439453125],[600.9404296875]
[601.6630859375],[602.662109375],[602.4296875]
[600.6630859375],[601.662109375],[601.4091796875]
[600.9833984375],[602.482421875],[601.6552734375]
[601.2099609375],[602.208984375],[601.46875]
[601.1611328125],[602.16015625],[601.59765625]
[600.568359375],[602.068359375],[601.1318359375]
[601.6611328125],[602.66015625],[601.7685546875]
[600.8017578125],[602.06640625],[601.142578125]
[600.4501953125],[601.44921875],[601.1396484375]
[601.2607421875],[602.291015625],[601.3564453125]
[601.5400390625],[602.5390625],[601.60546875]
[600.2724609375],[601.771484375],[601.0439453125]
[601.0439453125],[602.04296875],[601.4619140625]
[600.294921875],[601.29296875],[600.451171875]
[601.1103515625],[602.109375],[601.47265625]
[600.9345703125],[601.93359375],[600.953125]
[601.7265625],[602.7275390625],[601.744140625]
[600.7822265625],[601.78125],[600.9140625]
[600.9306640625],[601.9296875],[601.205078125]
[601.1748046875],[602.298828125],[601.3994140625]
[600.6396484375],[601.64453125],[600.951171875]
[600.1787109375],[601.177734375],[601.0703125]
[601.1630859375],[602.412109375],[601.625]
[600.15625],[601.1552734375],[600.296875]
[600.6923828125],[601.69140625],[600.970703125]
[601.08984375],[602.0888671875],[601.166015625]
[601.4189453125],[602.41796875],[602.076171875]
[601.435546875],[602.4658203125],[601.47265625]
[600.9609375],[601.9609375],[601.4345703125]
[601.2880859375],[602.287109375],[601.6396484375]
[600.908203125],[601.90625],[601.22265625]
[600.6982421875],[601.697265625],[601.640625]
[600.21875],[601.3583984375],[600.70703125]
[601.3974609375],[602.458984375],[602.337890625]
[600.8349609375],[602.083984375],[601.3310546875]
[601.7373046875],[602.736328125],[601.8623046875]
[600.48046875],[601.478515625],[600.984375]
[601.1103515625],[602.109375],[601.7314453125]
[601.54296875],[602.6689453125],[602.5380859375]
[601.91796875],[602.9326171875],[602.166015625]
[601.048828125],[602.1728515625],[601.494140625]
[600.724609375],[602.2236328125],[601.3837890625]
[601.384765625],[602.3837890625],[601.44140625]
[600.595703125],[601.845703125],[600.9345703125]
[600.41796875],[601.416015625],[600.69140625]
[600.4423828125],[601.94140625],[601.341796875]
[601.251953125],[602.2509765625],[601.421875]
[600.2001953125],[601.4501953125],[601.078125]
[600.8642578125],[602.11328125],[601.171875]
[601.1064453125],[602.10546875],[602.0029296875]
[600.7939453125],[601.79296875],[601.0517578125]
[601.5087890625],[602.5078125],[602.4208984375]
[600.953125],[602.015625],[601.1650390625]
[600.962890625],[601.9658203125],[601.091796875]
[601.103515625],[602.3837890625],[601.599609375]
[601.3681640625],[602.8671875],[602.3037109375]
[601.787109375],[603.0361328125],[602.7392578125]
[600.4755859375],[601.724609375],[601.234375]
[601.166015625],[602.1650390625],[601.34765625]
[601.05859375],[602.1201171875],[601.17578125]
[601.9853515625],[603.109375],[602.974609375]
[601.0712890625],[602.2109375],[601.7451171875]
[601.369140625],[602.3681640625],[601.59765625]
[600.7060546875],[601.70703125],[601.341796875]
[600.7626953125],[601.76171875],[601.052734375]
[601.208984375],[602.208984375],[601.9404296875]
[600.4609375],[601.458984375],[600.970703125]
[601.0478515625],[602.453125],[601.5390625]
[601.9716796875],[603.001953125],[602.57421875]
[601.44140625],[602.7216796875],[601.8046875]
[601.234375],[602.2490234375],[602.1083984375]
[601.0244140625],[602.0234375],[601.4443359375]
[601.10546875],[602.166015625],[601.8359375]
[600.9404296875],[601.939453125],[601.03515625]
[601.3037109375],[602.302734375],[601.552734375]
[601.2314453125],[602.23046875],[601.3984375]
[601.5458984375],[602.544921875],[602.2724609375]
[600.994140625],[601.9931640625],[601.23828125]
[601.10546875],[602.1044921875],[601.1591796875]
[602.361328125],[603.359375],[602.58984375]
[601.7275390625],[602.7265625],[601.98046875]
[601.1689453125],[602.43359375],[602.0732421875]
[601.328125],[602.3310546875],[601.91015625]
[601.107421875],[602.1220703125],[601.8505859375]
[601.4228515625],[602.546875],[601.6259765625]
[600.9306640625],[601.9306640625],[601.92578125]
[601.1318359375],[602.130859375],[601.2470703125]
[602.0556640625],[603.080078125],[602.2373046875]
[601.525390625],[602.5244140625],[602.451171875]
[601.6796875],[602.6787109375],[601.92578125]
[600.935546875],[601.9423828125],[601.380859375]
[601.765625],[602.8154296875],[602.005859375]
[601.29296875],[602.3232421875],[602.0400390625]
[601.4892578125],[602.4892578125],[601.568359375]
[600.9609375],[601.9638671875],[601.3173828125]
[600.67578125],[601.72265625],[600.794921875]
